STARLINK-4711           
Time(t),Position x(r_x),y(r_y),z(r_z),Velocity x(v_x),y(v_y),z(v_z)
2459905.5,3996.7456472748304,-910.7685842860774,5425.914113454051,2.354355875055534,7.2681432799099746,-0.5127866764709821
2459905.5006951396,4128.935923356396,-472.5014346373386,5382.744113634999,2.0459054883017957,7.32065452375458,-0.9242565372564585
2459905.5013902793,4242.313344043127,-32.081168517550395,5314.978394433651,1.7281205159779416,7.339811448190353,-1.3315195895445107
2459905.502085419,4336.360357540672,408.48549447977337,5222.92539657552,1.4024424305774694,7.325523820300315,-1.7327215852256483
2459905.5027805585,4410.647110012178,847.1909378633445,5107.004173678597,1.070349074790438,7.277852092936991,-2.126034652473785
2459905.5034756977,4464.833409960792,1282.035412754174,4967.742667533678,0.7333485153699082,7.197007508921124,-2.509665093177286
2459905.5041708373,4498.6704660347,1711.0372394426943,4805.775012150978,0.39297159600519155,7.083351307722541,-2.8818623813459268
2459905.504865977,4512.001877599319,2132.240044952528,4621.839310841637,0.05076659806469928,6.93739388624004,-3.2409254977973574
2459905.5055611166,4504.764595931227,2543.722831097864,4416.7740254025575,-0.29170849468330656,6.759792811784199,-3.5852117176635825
2459905.5062562563,4476.989269327587,2943.608453571005,4191.51434776422,-0.6328927263066622,6.551350427324771,-3.9131439425092034
2459905.506951396,4428.8002105833275,3330.0722277301197,3947.088035658095,-0.9712292205738292,6.313010752053159,-4.2232180971240245
2459905.5076465355,4360.4149386889885,3701.3503280967484,3684.610810768514,-1.3051723032134996,6.045855706823545,-4.514010289986117
2459905.508341675,4272.143291411599,4055.7479406710813,3405.2813348614723,-1.633194663290155,5.751100654918049,-4.78418369330226
2459905.509036815,4164.386107426644,4391.647126754428,3110.3757821308664,-1.953794518154373,5.4300892537738115,-5.032495095689938
2459905.509731954,4037.63357007724,4707.514152325546,2801.2422404431404,-2.265502536886481,5.084287859250438,-5.257800935581672
2459905.5104270936,3892.4626814211956,5001.907484103568,2479.293704486659,-2.5668897195072025,4.715278069095858,-5.459063639792149
2459905.5111222332,3729.5351787898107,5273.483270327189,2146.0028195141563,-2.8565730672102125,4.324750940871375,-5.635355991186685
2459905.511817373,3549.5942029556045,5521.002503367748,1802.8942599983293,-3.133223175608944,3.914498272762249,-5.78586649871766
2459905.5125125125,3353.4609731146857,5743.3366156541,1451.537862262552,-3.3955705505261684,3.48640441937094,-5.9099034188389705
2459905.513207652,3142.0309990603,5939.472772058777,1093.5413218075157,-3.642411862680562,3.0424373278866588,-6.006898324047615
2459905.513902792,2916.2699270495623,6108.518608408498,730.5426956934384,-3.87261588026403,2.5846390701767286,-6.076409023135036
2459905.5145979314,2677.2090401630867,6249.706387617261,364.2027498818242,-4.08512903224079,2.115115930662107,-6.118121802628889
2459905.515293071,2425.940436705825,6362.396548755408,-3.80280695363441,-4.27898055816998,1.6360281167531898,-6.131852965958511
2459905.51598821,2163.6120919097625,6446.0805823044275,-371.79091433942307,-4.453287094289353,1.1495794922383407,-6.117549673601467
2459905.51668335,1891.4217624872613,6500.383512884559,-738.0800107309326,-4.607257334605509,0.6580054463200494,-6.075289981670953
2459905.5173784895,1610.6124200576276,6525.0651856226295,-1100.9964012215178,-4.740195017867358,0.16356388078491607,-6.005282270885711
2459905.518073629,1322.4657272953068,6520.021471978452,-1458.8830340604,-4.851502554613668,-0.3314771271641884,-5.907863883645383
2459905.5187687688,1028.2962104864991,6485.284502881382,-1810.1069414068722,-4.9406834911768716,-0.8248500238354532,-5.783499083914372
2459905.5194639084,729.4451216634641,6421.022308088275,-2153.0667839812386,-5.0073445284833955,-1.314298708194993,-5.632776345598727
2459905.520159048,427.2741967408669,6327.537803838414,-2486.2002135583007,-5.051196969408036,-1.7975892919705732,-5.456405002284747
2459905.5208541877,123.15934389011244,6205.267141105556,-2807.9910160857626,-5.072057598591983,-2.2725206199596357,-5.255211297162846
2459905.5215493273,-181.51570404809053,6054.777430820606,-3116.9760006926567,-5.069849004995097,-2.7369344859050146,-5.030133877030266
2459905.5222444665,-485.3655371492547,5876.763994405851,-3411.7514101969095,-5.044599387848526,-3.18872518846355,-4.782218951613675
2459905.522939606,-787.0102037938649,5672.046410740881,-3690.9799893344702,-4.996441734755447,-3.625850175875704,-4.5126141418712535
2459905.5236347457,-1085.0802502212541,5441.565221333209,-3953.395745278415,-4.925612689789687,-4.046337217503861,-4.222563599544558
